message_id,text,intent_label,sentiment,urgency_level,classification_confidence,channel,language,word_count,response_time_hours,is_resolved,csat_score
MSG-1000,Switched to your E-Reader Glow from a competitor and couldn't be happier.,feedback_positive,positive,low,0.811,social_media,de,12,46.3,True,5
MSG-1001,I need to change the shipping address for my Smart Thermostat order.,request,neutral,high,0.934,live_chat,en,12,63.8,True,4
MSG-1002,The Robot Vacuum X overheats when running MusicStream for more than 17 minutes.,technical_issue,negative,high,0.794,email,es,13,57.6,False,
MSG-1003,I need an invoice for my Portable Monitor purchase of $523.00.,request,neutral,medium,0.916,social_media,en,11,5.8,True,4
MSG-1004,Your FitTrack AI team was incredibly helpful with my AirBuds Max setup.,feedback_positive,positive,low,0.841,phone,es,12,52.4,True,5
MSG-1005,The CloudCam 360 overheats when running CloudSync for more than 43 minutes.,technical_issue,negative,critical,0.759,live_chat,en,12,43.8,False,
MSG-1006,I was charged $407.00 twice for the same AirBuds Max. Fix this immediately.,complaint,negative,high,0.976,live_chat,ar,13,26.8,True,3
MSG-1007,How do I track my PowerBank Titan order placed 42 days ago?,inquiry,neutral,low,0.86,live_chat,ar,12,65.8,True,4
MSG-1008,Been a loyal customer for 45 years. FitBand Ultra quality never disappoints.,feedback_positive,positive,low,0.842,live_chat,en,12,64.7,True,5
MSG-1009,Your FitTrack AI has been down for 36 hours and I can't access my account.,complaint,negative,high,0.857,live_chat,es,15,8.8,True,2
MSG-1010,What's the warranty period for the SmartWatch Pro?,inquiry,neutral,low,0.738,in_app,en,8,28.7,False,
MSG-1011,The Smart Thermostat overheats when running SecureNet VPN for more than 5 minutes.,technical_issue,negative,high,0.904,phone,ar,13,24.9,True,2
MSG-1012,Transfer my CloudSync subscription to a different email address.,request,neutral,medium,0.813,social_media,en,9,67.8,True,3
MSG-1013,Switched to your VR Headset Plus from a competitor and couldn't be happier.,feedback_positive,positive,low,0.893,email,de,13,42.7,True,5
MSG-1014,Is E-Reader Glow eligible for the current promotion?,inquiry,neutral,low,0.976,email,en,8,55.5,True,4
MSG-1015,The DroneFlyer Mini overheats when running CloudSync for more than 57 minutes.,technical_issue,negative,critical,0.786,social_media,ar,12,58.1,False,
MSG-1016,Been a loyal customer for 29 years. AirBuds Max quality never disappoints.,feedback_positive,positive,low,0.759,social_media,pt,12,62.0,True,5
MSG-1017,Your FitTrack AI app makes managing my HomeHub Speaker so easy.,feedback_positive,positive,low,0.841,email,en,11,10.2,True,4
MSG-1018,Your GamePass Pro app makes managing my Robot Vacuum X so easy.,feedback_positive,positive,low,0.926,social_media,en,12,35.9,True,5
MSG-1019,Please send me a replacement LaptopAir M3 in Arctic White.,request,neutral,medium,0.733,in_app,es,10,20.3,False,
MSG-1020,The new SmartWatch Pro update is fantastic. Love the improvements.,feedback_positive,positive,low,0.828,social_media,en,10,41.1,True,5
MSG-1021,The new CloudCam 360 update is fantastic. Love the improvements.,feedback_positive,positive,low,0.755,in_app,en,10,7.1,True,5
MSG-1022,The new PowerBank Titan update is fantastic. Love the improvements.,feedback_positive,positive,low,0.757,email,en,10,24.0,True,5
MSG-1023,Bluetooth pairing fails between HomeHub Speaker and my other devices.,technical_issue,negative,high,0.92,phone,pt,10,21.6,True,3
MSG-1024,The LaptopAir M3 microphone doesn't work during GamePass Pro calls.,technical_issue,negative,high,0.878,email,fr,10,57.4,True,3
MSG-1025,Please send me a replacement VR Headset Plus in Coral Red.,request,neutral,high,0.89,live_chat,de,11,44.7,False,
MSG-1026,Is the SmartWatch Pro available in Arctic White?,inquiry,neutral,medium,0.906,live_chat,fr,8,29.6,False,
MSG-1027,I was charged $693.00 twice for the same SmartLock V2. Fix this immediately.,complaint,negative,medium,0.844,social_media,en,13,38.4,True,2
MSG-1028,Bluetooth pairing fails between FitBand Ultra and my other devices.,technical_issue,negative,high,0.806,live_chat,ar,10,25.2,True,2
MSG-1029,Terrible customer experience. Waited 58 minutes on hold about my VR Headset Plus.,complaint,negative,medium,0.978,email,en,13,5.8,False,
MSG-1030,Been a loyal customer for 18 years. FitBand Ultra quality never disappoints.,feedback_positive,positive,low,0.92,email,pt,12,17.3,True,4
MSG-1031,The Midnight Black screen on my VR Headset Plus keeps flickering randomly.,technical_issue,negative,high,0.98,live_chat,en,12,70.4,True,3
MSG-1032,I need an invoice for my VR Headset Plus purchase of $307.00.,request,neutral,medium,0.864,in_app,en,12,52.1,True,4
MSG-1033,I need to change the shipping address for my Portable Monitor order.,request,neutral,medium,0.873,email,en,12,7.8,True,4
MSG-1034,Transfer my PhotoCloud subscription to a different email address.,request,neutral,medium,0.764,email,es,9,33.1,True,4
MSG-1035,Your SmartHome Hub has been down for 44 hours and I can't access my account.,complaint,negative,high,0.859,phone,fr,15,6.3,True,2
MSG-1036,What's the warranty period for the PowerBank Titan?,inquiry,neutral,medium,0.877,social_media,en,8,41.3,True,4
MSG-1037,Can you tell me if the VR Headset Plus is compatible with TechCare Plus?,inquiry,neutral,low,0.892,social_media,en,14,67.7,True,4
MSG-1038,How long does shipping take for the LaptopAir M3 to Berlin?,inquiry,neutral,low,0.924,in_app,ar,11,57.8,True,4
MSG-1039,The SmartLock V2 app crashes every time I open PhotoCloud.,technical_issue,negative,high,0.964,email,de,10,14.6,True,2
MSG-1040,The new LaptopAir M3 update is fantastic. Love the improvements.,feedback_positive,positive,low,0.842,phone,en,10,37.0,True,5
MSG-1041,I'm getting error code E43352 when trying to use SmartLock V2.,technical_issue,negative,high,0.74,live_chat,pt,11,30.6,True,3
MSG-1042,Your Portable Monitor broke after just 19 days of use. Totally unacceptable.,complaint,negative,high,0.988,phone,es,12,27.6,False,
MSG-1043,Please refund the $895.00 charged for VR Headset Plus order #25549.,request,neutral,medium,0.863,in_app,fr,11,52.4,True,3
MSG-1044,I've contacted support 35 times about my LaptopAir M3 issue with no resolution.,complaint,negative,medium,0.794,social_media,en,13,67.5,True,1
MSG-1045,Apply the promo code SAVE14 to my Smart Thermostat order.,request,neutral,medium,0.901,phone,pt,10,62.8,True,3
MSG-1046,I need an invoice for my FitBand Ultra purchase of $899.00.,request,neutral,medium,0.94,social_media,en,11,52.7,True,4
MSG-1047,Do you offer a student discount on Portable Monitor?,inquiry,neutral,low,0.958,in_app,pt,9,65.6,False,
MSG-1048,Bluetooth pairing fails between SmartWatch Pro and my other devices.,technical_issue,negative,high,0.822,live_chat,en,10,54.3,False,
MSG-1049,Is the CloudCam 360 available in Lavender Purple?,inquiry,neutral,medium,0.756,in_app,de,8,17.6,True,4
MSG-1050,I ordered a Robot Vacuum X in Arctic White but received it in the wrong color.,complaint,negative,medium,0.883,phone,pt,16,62.9,True,3
MSG-1051,The Forest Green screen on my LaptopAir M3 keeps flickering randomly.,technical_issue,negative,high,0.967,email,ar,11,50.1,True,3
MSG-1052,How do I track my PowerBank Titan order placed 30 days ago?,inquiry,neutral,medium,0.958,social_media,de,12,33.6,False,
MSG-1053,Switched to your PowerBank Titan from a competitor and couldn't be happier.,feedback_positive,positive,low,0.972,social_media,de,12,41.7,True,5
MSG-1054,The FitBand Ultra exceeded my expectations. Great value for $598.00.,feedback_positive,positive,low,0.926,social_media,en,10,35.2,True,5
MSG-1055,I need to change the shipping address for my E-Reader Glow order.,request,neutral,medium,0.861,in_app,en,12,60.4,True,3
MSG-1056,The quality of HomeHub Speaker has gone downhill. Very disappointed.,complaint,negative,high,0.736,phone,es,10,46.0,False,
MSG-1057,I'd like to cancel my MusicStream subscription effective immediately.,request,neutral,medium,0.984,social_media,de,9,1.3,False,
MSG-1058,What's the return policy for Portable Monitor purchased 10 days ago?,inquiry,neutral,low,0.792,social_media,es,11,28.6,True,5
MSG-1059,Apply the promo code SAVE44 to my FitBand Ultra order.,request,neutral,medium,0.829,email,en,10,27.2,False,
MSG-1060,I've been waiting 32 days for my E-Reader Glow and it still hasn't arrived.,complaint,negative,medium,0.962,in_app,en,14,66.2,True,2
MSG-1061,Bluetooth pairing fails between CloudCam 360 and my other devices.,technical_issue,negative,critical,0.971,email,en,10,22.7,True,3
MSG-1062,Can I upgrade my TechCare Plus plan to include Portable Monitor?,inquiry,neutral,medium,0.824,in_app,es,11,53.3,True,4
MSG-1063,Your TabletX 12 broke after just 22 days of use. Totally unacceptable.,complaint,negative,medium,0.891,social_media,en,12,56.4,False,
MSG-1064,Can you escalate my PowerBank Titan complaint to a manager?,request,neutral,high,0.8,email,pt,10,17.8,True,3
MSG-1065,The TabletX 12 exceeded my expectations. Great value for $384.00.,feedback_positive,positive,low,0.817,social_media,ar,10,19.5,True,5
MSG-1066,I was charged $539.00 twice for the same TabletX 12. Fix this immediately.,complaint,negative,high,0.87,email,es,13,43.0,True,3
MSG-1067,I've contacted support 47 times about my TabletX 12 issue with no resolution.,complaint,negative,high,0.905,in_app,en,13,12.3,True,2
MSG-1068,Been a loyal customer for 28 years. HomeHub Speaker quality never disappoints.,feedback_positive,positive,low,0.788,email,es,12,17.8,True,5
MSG-1069,GPS accuracy on my FitBand Ultra is off by 9 meters.,technical_issue,negative,high,0.937,in_app,fr,11,23.8,True,3
MSG-1070,Can't connect my CloudCam 360 to WiFi after the latest firmware update.,technical_issue,negative,high,0.799,phone,es,12,50.1,False,
MSG-1071,The Space Gray screen on my PowerBank Titan keeps flickering randomly.,technical_issue,negative,high,0.88,in_app,en,11,39.3,True,3
MSG-1072,What's the warranty period for the Smart Thermostat?,inquiry,neutral,medium,0.785,live_chat,en,8,47.5,False,
MSG-1073,Please refund the $425.00 charged for LaptopAir M3 order #76402.,request,neutral,medium,0.73,phone,de,10,69.7,True,3
MSG-1074,What payment methods do you accept for HomeHub Speaker?,inquiry,neutral,medium,0.747,email,en,9,16.1,True,5
MSG-1075,Your GamePass Pro app makes managing my LaptopAir M3 so easy.,feedback_positive,positive,low,0.969,social_media,fr,11,6.3,True,5
