message_id,text,intent_label,sentiment,urgency_level,classification_confidence,channel,language,word_count,response_time_hours,is_resolved,csat_score,processed_text,sentiment_scores,sentiment_compound,sentiment_label
MSG-1000,Switched to your E-Reader Glow from a competitor and couldn't be happier.,feedback_positive,positive,low,0.811,social_media,de,12,46.3,True,5.0,switch to your ereader glow from a competitor and could not be happy,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.4168}",-0.4168,Negative
MSG-1001,I need to change the shipping address for my Smart Thermostat order.,request,neutral,high,0.934,live_chat,en,12,63.8,True,4.0,I need to change the shipping address for my smart thermostat order,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",0.4019,Positive
MSG-1002,The Robot Vacuum X overheats when running MusicStream for more than 17 minutes.,technical_issue,negative,high,0.794,email,es,13,57.6,False,,the robot vacuum x overheat when run musicstream for more than 17 minute,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1003,I need an invoice for my Portable Monitor purchase of $523.00.,request,neutral,medium,0.916,social_media,en,11,5.8,True,4.0,I need an invoice for my portable monitor purchase of 52300,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1004,Your FitTrack AI team was incredibly helpful with my AirBuds Max setup.,feedback_positive,positive,low,0.841,phone,es,12,52.4,True,5.0,your fittrack ai team be incredibly helpful with my airbuds max setup,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4754}",0.4754,Positive
MSG-1005,The CloudCam 360 overheats when running CloudSync for more than 43 minutes.,technical_issue,negative,critical,0.759,live_chat,en,12,43.8,False,,the cloudcam 360 overheat when run cloudsync for more than 43 minute,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1006,I was charged $407.00 twice for the same AirBuds Max. Fix this immediately.,complaint,negative,high,0.976,live_chat,ar,13,26.8,True,3.0,I be charge 40700 twice for the same airbuds max fix this immediately,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.2023}",-0.2023,Negative
MSG-1007,How do I track my PowerBank Titan order placed 42 days ago?,inquiry,neutral,low,0.86,live_chat,ar,12,65.8,True,4.0,how do I track my powerbank titan order place 42 day ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1008,Been a loyal customer for 45 years. FitBand Ultra quality never disappoints.,feedback_positive,positive,low,0.842,live_chat,en,12,64.7,True,5.0,be a loyal customer for 45 year fitband ultra quality never disappoint,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.6467}",0.6467,Positive
MSG-1009,Your FitTrack AI has been down for 36 hours and I can't access my account.,complaint,negative,high,0.857,live_chat,es,15,8.8,True,2.0,your fittrack ai have be down for 36 hour and I can not access my account,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1010,What's the warranty period for the SmartWatch Pro?,inquiry,neutral,low,0.738,in_app,en,8,28.7,False,,what s the warranty period for the smartwatch pro,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
